,4d22b,e36d7,c5f52,900a3,bac6f,7ac23,a0315,461ff,c52e2,0c20d,74541,c2afd,ff965,186bc
Inception,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,,5.0
Zero Dark Thirty,,4.0,,,,,,,,,,,,
21 Jump Street,5.0,5.0,,3.0,3.0,,,,4.0,,2.0,,,
The Lego Movie,,,,,,4.0,,2.0,3.0,5.0,3.0,,,
The Avengers,3.0,,5.0,4.0,,3.0,4.0,5.0,5.0,5.0,4.0,4.0,,5.0
Interstellar,,5.0,3.0,4.0,,3.0,4.0,5.0,5.0,,2.0,,,
Gravity,,4.0,4.0,3.0,,4.0,,,3.0,4.0,3.0,,,
Zootopia,,,5.0,,,,4.0,5.0,,5.0,5.0,,,
Inside Out,,5.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,,3.0
Life of Pi,,3.0,,,5.0,,,4.0,5.0,4.0,1.0,,5.0,4.0
Wall-E,5.0,4.0,4.0,4.0,5.0,5.0,4.0,,5.0,4.0,4.0,4.0,,
Changeling,,,,,,,,,,,,3.0,,
The Help,,4.0,,5.0,5.0,,,,,,4.0,5.0,,
Brave,,4.0,4.0,5.0,,5.0,2.0,,4.0,5.0,3.0,2.0,,
Birdman,,,,,,2.0,,5.0,,4.0,,,,4.0
Argo,,4.0,,,,3.0,,,4.0,5.0,,,,
Her,,,,,4.0,4.0,,5.0,,,,,,
Ex Machina,,,,3.0,,,,,2.0,,,,,4.0
Cloud Atlas,,,,2.0,,4.0,,,,,1.0,,,
Big Hero 6,,,5.0,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
American Hustle,,2.0,,,4.0,3.0,,,4.0,4.0,,,,
Steve Jobs,,,,,,,,3.0,3.0,,,,4.0,
The Babadook,,,5.0,3.0,,,,,,,,,,
Wreck-it Ralph,5.0,3.0,5.0,4.0,,4.0,4.0,,3.0,5.0,5.0,5.0,,
Ted,2.0,,,,1.0,5.0,,4.0,4.0,1.0,,,3.0,4.0
Up,5.0,5.0,5.0,5.0,4.0,4.0,4.0,,5.0,5.0,5.0,5.0,,
Gone Girl,,2.0,2.0,,,,,5.0,,3.0,,,,
The Grand Budapest Hotel,5.0,,,,,,,5.0,,5.0,,,,
Selma,,,,,,,,,,,,5.0,,
Moonrise Kingdom,5.0,,,,5.0,,5.0,,,5.0,,4.0,,
